Open,High,Low,Close,Volume,Dividends,Stock Splits,Target,Symbol
168.4668059986792,169.87399750483326,168.0505957042821,168.17942810058594,57388400,0.0,0.0,171.74696350097656,AAPL
168.87312383270142,172.0343565405087,168.57582642397568,171.74696350097656,60273300,0.0,0.0,169.93344116210938,AAPL
170.2010103030642,170.67667701496117,168.97218824939392,169.93344116210938,65672700,0.0,0.0,168.49652099609375,AAPL
169.64606274055888,169.70551918920845,167.95147834818596,168.49652099609375,46240500,0.0,0.0,167.31727600097656,AAPL
167.5551169522469,167.81276664190898,166.71277681419204,167.31727600097656,49329500,0.0,0.0,168.1199493408203,AAPL
167.26770493028647,169.14065873561202,167.05960735256843,168.1199493408203,47691700,0.0,0.0,167.29745483398438,AAPL
168.7541832986243,170.3694875068381,167.29745483398438,167.29745483398438,53704400,0.0,0.0,168.05059814453125,AAPL
168.06050251317026,168.85329051832247,167.42627513328318,168.05059814453125,42104800,0.0,0.0,166.9307861328125,AAPL
167.50555706407098,167.67402205960258,166.72268854116854,166.9307861328125,37425500,0.0,0.0,168.13978576660156,AAPL
167.17853275073267,168.5460917055098,166.83169838821917,168.13978576660156,42373800,0.0,0.0,166.26683044433594,AAPL
167.27763553824258,167.5650134431552,165.60287483124418,166.26683044433594,49709300,0.0,0.0,173.4613494873047,AAPL
166.8217782077108,173.87757491447604,166.64340884278624,173.4613494873047,91070300,0.0,0.0,174.957763671875,AAPL
172.68840786964623,176.75143752987137,172.6388708981507,174.957763671875,101670900,0.0,0.0,171.13253784179688,AAPL
173.7784557074799,175.03700600653332,170.94424900321735,171.13253784179688,73531800,0.0,0.0,167.85238647460938,AAPL
170.20100688366134,172.19287348566485,166.75239682964104,167.85238647460938,73711200,0.0,0.0,166.48484802246094,AAPL
168.08032842085646,169.11094225529814,166.48484802246094,166.48484802246094,50901200,0.0,0.0,165.5334930419922,AAPL
166.51456987389489,167.11906901091456,165.0479219314042,165.5334930419922,43122900,0.0,0.0,163.51190185546875,AAPL
164.7109957890585,164.89926951971245,162.6002009445124,163.51190185546875,68149400,0.0,0.0,164.34432983398438,AAPL
164.0272236912775,165.75152141981465,163.28398774037723,164.34432983398438,48116400,0.0,0.0,165.394775390625,AAPL
163.8587664496344,165.54343166054898,163.4326366212621,165.394775390625,49537800,0.0,0.0,167.4956512451172,AAPL
165.03800691456527,167.77312477902248,164.71099641624178,167.4956512451172,48251800,0.0,0.0,168.35780334472656,AAPL
168.0010494911784,169.07131105182287,166.63349053238153,168.35780334472656,50558300,0.0,0.0,167.7731170654297,AAPL
168.3478879652858,169.79471202253325,167.6541890412428,167.7731170654297,44838400,0.0,0.0,171.93524169921875,AAPL
171.80640930182136,174.44242297655094,171.53885525962073,171.93524169921875,68169400,0.0,0.0,168.7938232421875,AAPL
171.76676673002254,173.4117990890393,168.46679764398493,168.7938232421875,65934800,0.0,0.0,167.7731170654297,AAPL
168.05059058657778,171.15236652369296,167.58482822154218,167.7731170654297,50383100,0.0,0.0,171.46949768066406,AAPL
170.95418315705703,171.85597979307556,169.34879824722077,171.46949768066406,94214900,0.0,0.0,181.72613525390625,AAPL
184.9666328542693,185.31348231884328,181.01262758822543,181.72613525390625,163224100,0.0,0.0,180.07119750976562,AAPL
180.7054248623681,182.53873097916653,178.79282331517493,180.07119750976562,78569700,0.0,0.0,180.7549591064453,AAPL
181.79549235772294,183.2324120279765,179.68471275097576,180.7549591064453,77305800,0.0,0.0,181.0919189453125,AAPL
181.20092748758523,181.4189445721307,179.81354466582562,181.0919189453125,45057100,0.0,0.0,182.90542602539062,AAPL
180.9135439323752,182.99461071341904,180.46760537105857,182.90542602539062,48983000,0.0,0.0,181.64517211914062,AAPL
183.4809650708303,183.66950932429603,180.7322345449188,181.64517211914062,50759500,0.25,0.0,184.85035705566406,AAPL
184.01680743143146,185.6640710757596,183.2030934113359,184.85035705566406,72044800,0.0,0.0,185.9915313720703,AAPL
