Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-26 00:00:00+05:30,3634.016313190079,3701.257291825828,3630.68703955033,3636.36083984375,3440925,0.0,0.0
2024-03-27 00:00:00+05:30,3646.6767441445086,3652.7725134223638,3591.2520426658625,3602.036865234375,1968575,0.0,0.0
2024-03-28 00:00:00+05:30,3610.6652440946027,3671.529069915745,3601.6621693515754,3635.23583984375,4311783,0.0,0.0
2024-04-01 00:00:00+05:30,3655.304582916496,3688.6907341711717,3646.254801582969,3673.169921875,1569676,0.0,0.0
2024-04-02 00:00:00+05:30,3648.083423198765,3666.6990561572848,3632.140642171932,3642.26904296875,2142666,0.0,0.0
2024-04-03 00:00:00+05:30,3611.509094088183,3733.424488071944,3611.509094088183,3701.8203125,3973090,0.0,0.0
2024-04-04 00:00:00+05:30,3728.6414957560305,3778.1110105154908,3690.519582126367,3754.337646484375,3394637,0.0,0.0
2024-04-05 00:00:00+05:30,3730.610695693873,3753.1181508715135,3714.1990096268437,3731.782958984375,1636819,0.0,0.0
2024-04-08 00:00:00+05:30,3735.3000761758317,3781.8622865716975,3713.7304297404708,3725.5,2302538,0.0,0.0
2024-04-09 00:00:00+05:30,3736.237662579727,3766.1070236289547,3680.953770065772,3701.11669921875,1876992,0.0,0.0
2024-04-10 00:00:00+05:30,3710.3540167302876,3742.0520629416483,3674.342178842318,3736.84716796875,2101965,0.0,0.0
2024-04-12 00:00:00+05:30,3724.0463102085732,3763.76268515537,3700.1321372268762,3752.5556640625,4354821,0.0,0.0
2024-04-15 00:00:00+05:30,3752.5557696224905,3811.4503293550783,3675.32719325435,3696.099609375,4200329,0.0,0.0
2024-04-16 00:00:00+05:30,3659.33739612377,3684.37689632826,3622.622198353119,3631.953369140625,3051420,0.0,0.0
2024-04-18 00:00:00+05:30,3635.7048405060677,3691.2231923226304,3610.571466067614,3621.8251953125,3476284,0.0,0.0
2024-04-19 00:00:00+05:30,3599.3174326502835,3612.9626239981167,3564.5245644253832,3588.251220703125,2957749,0.0,0.0
2024-04-22 00:00:00+05:30,3598.3795176848753,3636.829754907987,3574.9342510854167,3624.26318359375,1728883,0.0,0.0
2024-04-23 00:00:00+05:30,3635.9392984592287,3652.7729560208513,3620.5123570552523,3633.7353515625,1807586,0.0,0.0
2024-04-24 00:00:00+05:30,3648.0837008405756,3655.586186600659,3586.6101623523527,3592.7998046875,1317312,0.0,0.0
2024-04-25 00:00:00+05:30,3574.1837976912666,3632.7500252586483,3573.996281358353,3612.634033203125,2856271,0.0,0.0
2024-04-26 00:00:00+05:30,3615.400944510773,3635.7046841917695,3566.07223748283,3583.703125,2039178,0.0,0.0
2024-04-29 00:00:00+05:30,3599.3179183210755,3636.6428346569596,3581.687029156828,3629.515380859375,1110693,0.0,0.0
2024-04-30 00:00:00+05:30,3631.2030581143713,3640.3467125091584,3573.058794270598,3583.04638671875,2203078,0.0,0.0
2024-05-02 00:00:00+05:30,3543.0960645672344,3630.3594034721755,3543.0960645672344,3623.04443359375,2491044,0.0,0.0
2024-05-03 00:00:00+05:30,3648.2239953859785,3651.4596252829774,3561.4298032069573,3604.38134765625,2962234,0.0,0.0
2024-05-06 00:00:00+05:30,3613.384813638277,3694.9274124213143,3613.384813638277,3677.202880859375,2053831,0.0,0.0
2024-05-07 00:00:00+05:30,3686.3464581217104,3739.9891860111734,3670.1222867238534,3731.501953125,2062112,0.0,0.0
2024-05-08 00:00:00+05:30,3714.6676994941613,3736.5187317533064,3693.660834129821,3729.625732421875,1247685,0.0,0.0
2024-05-09 00:00:00+05:30,3715.6058295864877,3724.0461255143723,3666.8866116609574,3713.917724609375,1726486,0.0,0.0
2024-05-10 00:00:00+05:30,3716.1687445881325,3726.484662213695,3643.441479536376,3651.740966796875,1672489,0.0,0.0
2024-05-13 00:00:00+05:30,3642.925600436705,3709.041253630369,3629.327345524533,3702.2890625,931326,0.0,0.0
2024-05-14 00:00:00+05:30,3691.2230172569975,3700.413608162642,3650.803283386374,3658.587158203125,1058317,0.0,0.0
2024-05-15 00:00:00+05:30,3661.6818959693137,3682.7357004952323,3634.485385536964,3639.08056640625,1115021,0.0,0.0
2024-05-16 00:00:00+05:30,3675.637945909043,3693.018989202287,3630.673611714795,3684.9423828125,2599399,28.0,0.0
2024-05-17 00:00:00+05:30,3701.992673680125,3702.937300542508,3617.9208829280115,3621.7939453125,2765804,0.0,0.0
2024-05-21 00:00:00+05:30,3618.4880769854944,3631.854456042576,3599.0759470919206,3608.663818359375,1908117,0.0,0.0
2024-05-22 00:00:00+05:30,3622.6439391197887,3628.54785688237,3606.16024685102,3619.81005859375,1311168,0.0,0.0
2024-05-23 00:00:00+05:30,3628.2645114562283,3688.7679082914883,3613.6700725144915,3677.857421875,2095742,0.0,0.0
2024-05-24 00:00:00+05:30,3663.4993323947815,3668.742057896385,3631.429294761055,3636.34130859375,1309452,0.0,0.0
2024-05-27 00:00:00+05:30,3641.536837624862,3691.9327769001197,3628.642772199506,3634.027099609375,1841538,0.0,0.0
2024-05-28 00:00:00+05:30,3644.370544047232,3655.706066734782,3617.9209911096164,3627.272705078125,1801993,0.0,0.0
2024-05-29 00:00:00+05:30,3635.774149635783,3635.774149635783,3589.5819894414226,3593.02978515625,1568095,0.0,0.0
2024-05-30 00:00:00+05:30,3567.855604818015,3584.2920197241397,3509.7137762005277,3529.220458984375,2919230,0.0,0.0
2024-05-31 00:00:00+05:30,3532.904510318457,3542.1618998121,3451.430442400017,3467.677978515625,10956800,0.0,0.0
2024-06-03 00:00:00+05:30,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773,0.0,0.0
2024-06-04 00:00:00+05:30,3495.1194153242764,3537.627624429572,3392.6274000370645,3509.288818359375,3395997,0.0,0.0
2024-06-05 00:00:00+05:30,3510.233230038932,3574.27897395571,3495.1192010613695,3538.9970703125,2799670,0.0,0.0
2024-06-06 00:00:00+05:30,3571.634109972148,3627.2725390345563,3534.3213495003415,3618.298583984375,4328036,0.0,0.0
2024-06-07 00:00:00+05:30,3624.8165722996846,3698.2140306925203,3624.8165722996846,3678.32958984375,4552445,0.0,0.0
2024-06-10 00:00:00+05:30,3679.3217405498876,3689.6180814133613,3629.161960387638,3645.03173828125,1734661,0.0,0.0
2024-06-11 00:00:00+05:30,3632.0904200618043,3665.1050839975637,3628.3119124726636,3638.79736328125,1419898,0.0,0.0
2024-06-12 00:00:00+05:30,3659.8622913039767,3677.9047569591216,3615.5121054162055,3619.4794921875,2177001,0.0,0.0
2024-06-13 00:00:00+05:30,3643.23713885556,3674.5987063691045,3638.7028835305373,3663.40478515625,1932323,0.0,0.0
2024-06-14 00:00:00+05:30,3673.654123447534,3673.654123447534,3616.031880832389,3619.857666015625,1860730,0.0,0.0
2024-06-18 00:00:00+05:30,3614.1895650327606,3629.2563169969253,3584.906133011182,3603.845947265625,1774045,0.0,0.0
2024-06-19 00:00:00+05:30,3615.7010098615556,3621.557881055292,3582.9225030243783,3591.18798828125,1509050,0.0,0.0
